1	3	5
570	658	635
570	669	658
669	775	658
669	766	775
669	645	766
669	570	645
570	569	645
569	587	645
587	655	645
587	604	655
570	512	569
473	461	512
473	445	461
445	405	461
405	439	461
439	434	461
439	401	434
401	396	434
401	370	396
370	377	396
377	418	396
418	453	396
418	398	453
398	410	453
410	498	453
498	524	453
524	571	453
410	451	498
451	564	498
451	501	564
501	623	564
410	385	451
370	325	377
370	326	325
326	278	325
278	287	325
278	242	287
242	249	287
249	260	287
249	176	260
249	189	176
189	147	176
147	142	176
142	174	176
142	139	174
139	129	174
129	132	174
132	197	174
197	210	174
197	235	210
235	272	210
197	220	235
220	269	235
269	284	235
284	290	235
284	358	290
284	321	358
321	355	358
355	397	358
397	421	358
397	456	421
355	392	397
355	351	392
351	363	392
363	391	392
363	368	391
368	429	391
368	404	429
404	490	429
404	496	490
368	333	404
333	324	404
333	263	324
263	288	324
288	300	324
288	247	300
247	227	300
247	165	227
247	200	165
200	156	165
156	108	165
108	109	165
108	89	109
89	77	109
77	72	109
72	121	109
72	57	121
57	100	121
100	119	121
119	151	121
119	149	151
149	168	151
149	162	168
162	181	168
181	208	168
181	219	208
219	224	208
219	285	224
285	318	224
219	279	285
219	238	279
238	293	279
293	307	279
238	274	293
238	259	274
238	222	259
222	240	259
240	248	259
248	311	259
248	266	311
266	328	311
328	346	311
248	232	266
232	246	266
232	192	246
192	184	246
192	183	184
183	134	184
134	122	184
134	127	122
183	179	134
183	214	179
214	182	179
214	222	182
222	169	182
169	124	182
124	127	182
169	131	124
131	113	124
131	114	113
114	67	113
114	65	67
65	30	67
30	20	67
65	57	30
65	100	57
65	97	100
97	101	100
101	119	100
101	149	119
101	114	149
114	131	149
131	162	149
131	169	162
169	181	162
169	222	181
222	238	181
238	219	181
101	97	114
97	65	114
214	240	222
214	248	240
214	232	248
214	183	232
183	192	232
72	56	57
56	37	57
56	32	37
32	17	37
17	22	37
22	21	37
22	31	21
22	16	31
16	50	31
50	43	31
16	41	50
16	26	41
16	12	26
12	24	26
12	8	24
8	11	24
8	14	11
8	28	14
28	38	14
38	33	14
38	49	33
49	52	33
49	70	52
70	79	52
70	105	79
105	95	79
105	118	95
105	132	118
132	125	118
125	129	118
125	132	129
105	136	132
136	197	132
136	203	197
203	215	197
215	220	197
215	310	220
310	269	220
310	319	269
319	321	269
321	284	269
319	351	321
351	355	321
319	310	351
310	363	351
310	322	363
322	331	363
331	368	363
331	333	368
331	322	333
322	276	333
276	270	333
270	263	333
270	205	263
205	196	263
205	188	196
188	156	196
188	135	156
135	107	156
107	110	156
110	108	156
110	83	108
83	89	108
83	77	89
83	48	77
48	56	77
56	72	77
48	29	56
29	32	56
29	16	32
16	17	32
16	22	17
29	12	16
29	28	12
28	8	12
29	34	28
34	38	28
34	66	38
66	49	38
66	75	49
75	70	49
75	105	70
75	112	105
112	136	105
112	135	136
135	203	136
135	188	203
188	205	203
205	215	203
205	276	215
276	310	215
276	322	310
205	270	276
112	107	135
112	75	107
75	66	107
66	110	107
66	48	110
48	83	110
66	34	48
34	29	48
142	147	139
189	194	147
194	161	147
194	198	161
198	191	161
198	213	191
213	217	191
213	239	217
239	241	217
241	253	217
253	237	217
241	256	253
241	239	256
239	289	256
289	308	256
289	295	308
295	336	308
295	330	336
295	332	330
332	365	330
332	372	365
332	350	372
350	432	372
350	376	432
376	445	432
445	475	432
475	458	432
445	473	475
376	405	445
376	338	405
338	382	405
382	439	405
382	401	439
382	371	401
371	326	401
326	370	401
371	338	326
338	297	326
297	254	326
254	278	326
254	229	278
229	242	278
229	213	242
213	194	242
194	189	242
189	249	242
213	198	194
229	231	213
231	239	213
231	254	239
254	297	239
297	289	239
297	332	289
332	295	289
297	350	332
297	338	350
338	376	350
231	229	254
371	382	338
638	599	572
638	682	599
682	713	599
713	687	599
682	696	713
682	638	696
3	1	20
